,id,clat,clong
Achham,Achham,29.09181279,81.31707255
Arghakhanchi,Arghakhanchi,27.90779334,83.06585909
Baglung,Baglung,28.33975247,83.2731612
Baitadi,Baitadi,29.48338045,80.53566864
Bajhang,Bajhang,29.70710581,81.14117632
Bajura,Bajura,29.56558569,81.5497582
Banke,Banke,28.12605255,81.79981157
Bara,Bara,27.13540854,85.06475248
Bardiya,Bardiya,28.33694949,81.46126455
Bhaktapur,Bhaktapur,27.66294721,85.43855603
Bhojpur,Bhojpur,27.21832031,87.06666799
Chitawan,Chitawan,27.54995278,84.36548036
Dadeldhura,Dadeldhura,29.22747472,80.48540118
Dailekh,Dailekh,28.89826774,81.67159209
Dang,Dang,27.97841875,82.43814156
Darchula,Darchula,29.89271094,80.74136106
Dhading,Dhading,27.9527537,84.98055863
Dhankuta,Dhankuta,26.97426594,87.36675537
Dhanusa,Dhanusa,26.79587245,86.00721975
Dolakha,Dolakha,27.82352203,86.19576072
Dolpa,Dolpa,29.25286365,83.07811054
Doti,Doti,29.17612357,80.88531019
Gorkha,Gorkha,28.28884046,84.78048444
Gulmi,Gulmi,28.08755407,83.30920208
Humla,Humla,30.03513341,81.89063467
Ilam,Ilam,26.8560453,87.9452083
Jajarkot,Jajarkot,28.86798437,82.1977929
Jhapa,Jhapa,26.57197501,87.95532113
Jumla,Jumla,29.2728938,82.20976273
Kailali,Kailali,28.76091877,80.82634991
Kalikot,Kalikot,29.21307603,81.76873832
Kanchanpur,Kanchanpur,28.83479468,80.38209033
Kapilbastu,Kapilbastu,27.62216856,82.9780085
Kaski,Kaski,28.30661651,84.01052734
Kathmandu,Kathmandu,27.7328855,85.35042992
Kavrepalanchok,Kavrepalanchok,27.52503681,85.616478
Khotang,Khotang,27.10524151,86.76344684
Lalitpur,Lalitpur,27.58871791,85.3453208
Lamjung,Lamjung,28.23682669,84.41790176
Mahottari,Mahottari,26.85777117,85.82059516
Makwanpur,Makwanpur,27.43988382,85.11702565
Manang,Manang,28.69469101,84.2357415
Morang,Morang,26.58315547,87.45387395
Mugu,Mugu,29.6346044,82.35940378
Mustang,Mustang,29.02209022,83.88796267
Myagdi,Myagdi,28.52877381,83.47535629
Nawalparasi,Nawalparasi,27.66476736,83.93892312
Nuwakot,Nuwakot,27.87213818,85.20553279
Okhaldhunga,Okhaldhunga,27.32850363,86.41723305
Palpa,Palpa,27.82143756,83.61908522
Panchthar,Panchthar,27.05953098,87.82000369
Parbat,Parbat,28.19805363,83.67436777
Parsa,Parsa,27.18232286,84.76011359
Pyuthan,Pyuthan,28.09437706,82.88362705
Ramechhap,Ramechhap,27.45389329,86.17446896
Rasuwa,Rasuwa,28.21369528,85.45366507
Rautahat,Rautahat,27.03243961,85.29121681
Rolpa,Rolpa,28.32571386,82.61625263
Rukum,Rukum,28.69237626,82.66341805
Rupandehi,Rupandehi,27.55443071,83.38330337
Salyan,Salyan,28.37833876,82.12383472
Sankhuwasabha,Sankhuwasabha,27.52454419,87.29855621
Saptari,Saptari,26.59685229,86.73725506
Sarlahi,Sarlahi,26.96581113,85.5617024
Sindhuli,Sindhuli,27.21085578,85.90028129
Sindhupalchok,Sindhupalchok,27.94899924,85.75847357
Siraha,Siraha,26.6852784,86.32651559
Solukhumbu,Solukhumbu,27.75423434,86.69879175
Sunsari,Sunsari,26.68353642,87.1812749
Surkhet,Surkhet,28.6672745,81.55422455
Syangja,Syangja,28.01170542,83.77998363
Tanahu,Tanahu,27.94887859,84.23370592
Taplejung,Taplejung,27.61858869,87.85666093
Terhathum,Terhathum,27.13350032,87.55401564
Udayapur,Udayapur,26.89706243,86.62430815
